Breed,count
Holstein,549
Unknown,354
Simmental,229
BrownSwiss,186
Jersey,149
Angus,138
OriginalBraunvieh,117
Charolais,111
Hereford,77
Brahman,61
Limousin,54
JerseyHolstein,39
Crossbreed,36
Gelbvieh,32
HolsteinFriesian,31
Yakut,25
UgandaAdmixed,25
Shorthorn,25
Hanwoo,23
Boran,21
NDama,21
Kholmogory,20
Butana,18
Normande,18
AngusRed,18
Ogaden,18
Montbeliarde,18
Romagnola,18
TyroleanGrey,17
Salers,16
Piedmontese,14
Afar,14
Chianina,13
Horro,11
Nelore,11
Arsi,10
IranAdmixed,10
Mursi,10
EthiopianBoran,10
Ankole,10
Goffa,10
Kenana,9
TyroleanGrauvieh,9
Kazakh,9
limonero,9
JapaneseNative,9
HolsteinHereford,9
Sheko,9
FriesianJersey,9
Begait,9
Fogera,9
BelgianBlue,9
Fleckvieh,9
Lingnan,8
Wenshan,8
ZebuMangshi,8
Mongolian,7
Wannan,7
MaineAnjou,7
SantaGertrudis,7
ScottishHighland,7
GreyCattle,6
Dianzhong,6
Braunvieh,6
Beefmaster,6
ChaidamuYellow,5
JiaxianRed,5
Xuanhan,5
Nanyang,5
Gir,5
Brangus,5
EasternFinncattle,5
WesternFinncattle,5
Luxi,5
Weining,5
Zaobei,5
DanishRedDairy,4
AngusLowline,4
Eringer,4
Jinjiang,4
ZebuIndian,4
Corriente,4
Tarentaise,4
BelgianBlueHolstein,4
TexasLonghorn,4
Guangfeng,4
Jian,4
HolsteinSimmental,4
TibetanCattle,3
Evolène,3
GallowayBelted,3
Leiqiong,3
NorwegianRed,3
BohaiBlack,3
SwissFleckvieh,2
HerefordMiniature,2
Dexter,2
LimousinHereford,2
MurrayGrey,2
Dabieshan,2
Wandong,2
CostenoConCuernos,2
Cloned-polledDairyBull,2
LimousinSimmental,2
Tuli,2
SanMartinero,2
Pinzgauer,1
Galloway,1
BelgiumBlue,1
SimmentalAngus,1
BeltedCattle,1
PiedmonteseNormande,1
LimousinHolstein,1
Tuxer,1
AngusSimmental,1
LimousinBrownSwiss,1
Lowline,1
DanishRedDairyHolstein,1
Sikias,1
WagyuModern,1
Shaiwal,1
Alentejana,1
Devon,1
Lagune,1
TharparkerModern,1
Hariana,1
Sahiwal,1
ChiAngus,1
CharolaisAngus,1
Crossbreed(50%Simmental;25%RedAngus;25%Charolais),1
Crossbreed(37.5%Gelbvieh;25%RedAngus;12.5%Simmental;12.5%Limousin),1
Crossbreed(25%RedAngus;25%Simmental;25%Gelbvieh;25%Hereford),1
Crossbreed(62.5%Angus;12.5%Simmental;12.5%Gelbvieh;12.5%Hereford),1
TuranoMongolicus,1
Crossbreed(75%Gelbvieh;25%Limousin),1
Crossbreed(50%Simmental;50%RedAngus),1
Crossbreed(50%Simmental;37.5%RedAngus;12.5%Angus),1
Auroch,1
SombaTongaleseModern,1
SouthAnatolianRed,1
PezzataRossaItaliana,1
Composite,1
Yanbian,1
Illawarra,1
SichuanIndigenous,1
Maremmana,1
CharolaisRedAngus,1
Crossbreed(HO62.5%;MO25%;JE12.5%),1
Vechur,1
Kangayam,1
Tharparkar,1
AngusGerman,1
Podolica,1
Sayaguesa,1
Pajuna,1
Boskarin,1
Maronesa,1
Limia,1
BelgianBlueLimousin,1
